sample,latency(s)
1,0.3808126449584961
2,0.4609498977661133
3,0.3631718158721924
4,0.38223719596862793
5,0.37325382232666016
6,0.3557453155517578
7,0.34197998046875
8,0.3557467460632324
9,0.37991857528686523
10,0.36003780364990234
11,0.35413289070129395
12,0.37214231491088867
13,0.41344451904296875
14,0.38565802574157715
15,0.3664877414703369
16,0.3741011619567871
17,0.33815884590148926
18,0.3842000961303711
19,0.364194393157959
20,0.38196635246276855
21,0.36277270317077637
22,0.395676851272583
23,0.3834567070007324
24,0.35382509231567383
25,0.3431813716888428
26,0.3404068946838379
27,0.33986926078796387
28,0.35644960403442383
29,0.32912731170654297
30,0.32143306732177734
