sample,latency(s)
1,0.25196003913879395
2,0.24612689018249512
3,0.24427175521850586
4,0.25934267044067383
5,0.2485196590423584
6,0.23866915702819824
7,0.24698972702026367
8,0.2914700508117676
9,0.2517564296722412
10,0.2286391258239746
11,0.23469209671020508
12,0.22212648391723633
13,0.23869824409484863
14,0.2363283634185791
15,0.24877381324768066
16,0.22094440460205078
17,0.2561919689178467
18,0.23736953735351562
19,0.2252049446105957
20,0.26311206817626953
21,0.22290325164794922
22,0.22824907302856445
23,0.22369885444641113
24,0.2510495185852051
25,0.2372424602508545
26,0.2614727020263672
27,0.25440168380737305
28,0.23210883140563965
29,0.24829959869384766
30,0.25189828872680664
