sample,latency(s)
1,0.29882216453552246
2,0.3069932460784912
3,0.2939722537994385
4,0.2866787910461426
5,0.31072139739990234
6,0.31897592544555664
7,0.31923627853393555
8,0.3232731819152832
9,0.32944369316101074
10,0.30390143394470215
11,0.3380739688873291
12,0.3155481815338135
13,0.29604482650756836
14,0.2921919822692871
15,0.3088052272796631
16,0.3028690814971924
17,0.31110453605651855
18,0.29789257049560547
19,0.28915882110595703
20,0.3106575012207031
21,0.2995491027832031
22,0.2972218990325928
23,0.29444169998168945
24,0.3587920665740967
25,0.2891068458557129
26,0.2888617515563965
27,0.2889697551727295
28,0.28951430320739746
29,0.2876927852630615
30,0.2662198543548584
