sample,latency(s)
1,5.486069917678833
2,5.277431488037109
3,5.229456186294556
4,5.449331045150757
5,5.264604568481445
6,5.353399753570557
7,5.378207683563232
8,5.274770021438599
9,5.230615854263306
10,6.076882362365723
11,6.67613673210144
12,6.500813007354736
13,6.504730939865112
14,6.4093017578125
15,5.238703727722168
16,5.4836344718933105
17,5.402390480041504
18,5.276243448257446
19,5.411602020263672
20,5.155467510223389
21,5.344209909439087
22,5.327840566635132
23,5.381968021392822
24,5.2449822425842285
25,5.326538324356079
26,5.322728633880615
27,5.400528192520142
28,5.379258394241333
29,5.41240930557251
30,5.172598361968994
