sample,latency(s)
1,11.829665184020996
2,11.753932237625122
3,11.665165185928345
4,11.706198692321777
5,12.056430578231812
6,11.676355600357056
7,12.28948187828064
8,10.246838092803955
9,9.953569412231445
10,9.817898035049438
11,10.002526760101318
12,10.001924991607666
13,10.268367767333984
14,9.85673999786377
15,10.186279773712158
16,9.918071269989014
17,9.92162013053894
18,10.163619995117188
19,10.243126153945923
20,9.983937978744507
21,10.050117254257202
22,10.063067436218262
23,9.94827389717102
24,9.937252521514893
25,10.009048223495483
26,10.094044208526611
27,9.83376145362854
28,10.097588300704956
29,10.14061951637268
30,10.090936422348022
