sample,latency(s)
1,3.698636293411255
2,3.27713680267334
3,3.086681365966797
4,3.197354555130005
5,3.0222957134246826
6,3.0055360794067383
7,3.1123294830322266
8,2.987664222717285
9,3.0082874298095703
10,3.0046401023864746
11,2.9966635704040527
12,3.1216273307800293
13,3.1650924682617188
14,3.050867795944214
15,3.0665833950042725
16,3.0208916664123535
17,2.9966187477111816
18,3.1364643573760986
19,3.057790756225586
20,3.1544606685638428
21,2.9920623302459717
22,2.982663631439209
23,3.1454315185546875
24,3.7094151973724365
25,3.4212846755981445
26,3.3905420303344727
27,2.98677921295166
28,3.0192887783050537
29,3.058056592941284
30,2.9495961666107178
